id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,uplifting|euphoric,english,false
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,64,2020,focused|calm,instrumental,false
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,71,2010,aggressive|driving,english,false
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020,calm|study,instrumental,false
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,83,2020,energetic|hype,english,true
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,42,2010,dreamy|calm,instrumental,false
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,60,2000,warm|nostalgic,instrumental,false
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2010,nostalgic|dreamy,english,false
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020,focused|calm,instrumental,false
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2010,uplifting|feelgood,english,false
11,Concrete Bloom,Vera Cruz,hip hop,energetic,0.80,95,0.70,0.85,0.08,80,2020,hype|confident,english,true
12,Morning Adagio,String Theory,classical,peaceful,0.20,65,0.55,0.15,0.95,47,1990,calm|serene,instrumental,false
13,Neon Horizon,Pulsewidth,edm,euphoric,0.95,128,0.88,0.92,0.03,85,2020,euphoric|hype,english,false
14,Dusty Roads Home,Willow Creek,country,nostalgic,0.55,100,0.62,0.55,0.60,62,2000,nostalgic|warm,english,false
15,Velvet Hours,Mara Soul,r&b,romantic,0.50,92,0.72,0.68,0.30,70,2010,romantic|smooth,english,false
16,Iron Verdict,Blackspire,metal,angry,0.97,160,0.30,0.50,0.02,66,2010,aggressive|dark,english,true
17,Paper Boats,Anna Fields,folk,melancholy,0.33,84,0.38,0.40,0.88,51,1990,melancholy|reflective,english,false
18,Island Time,Sunroot Collective,reggae,uplifting,0.60,96,0.80,0.75,0.35,69,2000,uplifting|warm,english,false
